id,user,title,image,cost,description,bill_date,bill_time,created,modified
17,admin,nothing much,,345678,,2019-03-26,06:31:00,2019-03-23 08:17:41.385303+00:00,2019-03-23 08:18:10.134650+00:00
14,admin,not today,expense_image/blockchain.png,45678,,2019-03-23,16:57:00,2019-03-22 16:57:47.287547+00:00,2019-03-22 17:24:44.750757+00:00
15,admin,not today,,45678,,2019-03-23,16:57:00,2019-03-22 17:25:40.906757+00:00,2019-03-22 17:25:40.910591+00:00
5,admin,another one,,69,this owkrs i guess,2019-03-22,03:24:00,2019-03-20 03:24:50.341439+00:00,2019-03-22 17:19:31.340719+00:00
13,admin,34567890,,45678,,2019-03-22,16:56:00,2019-03-22 16:56:35.513527+00:00,2019-03-22 16:57:31.816520+00:00
12,admin,car petrol,,300,,2019-03-21,15:52:00,2019-03-21 15:53:41.957431+00:00,2019-03-21 15:53:41.957457+00:00
4,admin,this is a sample question,,30239,description,2019-03-20,03:21:00,2019-03-20 03:21:42.006095+00:00,2019-03-20 03:21:42.006124+00:00
6,admin,iwrejlf,,234,l;skdfzkcn,2019-03-20,03:24:00,2019-03-20 03:25:04.150899+00:00,2019-03-20 03:25:04.150920+00:00
7,admin,sdfiljk,,2323,lsdjfalsd;kv,2019-03-20,04:22:00,2019-03-20 04:22:43.276494+00:00,2019-03-23 08:17:07.702514+00:00
8,admin,uosdfa;lsjk,,232,hello from this side,2019-03-20,04:51:00,2019-03-20 04:52:07.482666+00:00,2019-03-22 16:16:08.549930+00:00
9,admin,asdfasdf,,333,,2019-03-20,04:52:00,2019-03-20 04:52:17.024212+00:00,2019-03-20 04:52:17.024239+00:00
10,admin,bhnm,,67,jbhnjkm,2019-03-20,05:01:00,2019-03-20 05:02:02.851649+00:00,2019-03-20 05:02:02.851670+00:00
2,admin,knj,,89,,2019-03-19,16:22:00,2019-03-19 16:22:21.182802+00:00,2019-03-22 17:17:02.877585+00:00
